Cpu0  :  6.1%us, 10.8%sy,  0.0%ni, 79.4%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
Cpu0  :  6.1%us, 10.8%sy,  0.0%ni, 79.3%id,  1.3%wa,  0.0%hi,  2.1%si,  0.3%st
Cpu0  :  6.1%us, 10.9%sy,  0.0%ni, 79.2%id,  1.3%wa,  0.0%hi,  2.2%si,  0.3%st
Cpu0  :  6.1%us, 10.9%sy,  0.0%ni, 79.1%id,  1.3%wa,  0.0%hi,  2.3%si,  0.3%st
Cpu0  :  6.1%us, 10.9%sy,  0.0%ni, 78.9%id,  1.3%wa,  0.0%hi,  2.4%si,  0.3%st
Cpu0  :  6.1%us, 11.0%sy,  0.0%ni, 78.8%id,  1.3%wa,  0.0%hi,  2.5%si,  0.3%st
Cpu0  :  6.1%us, 11.0%sy,  0.0%ni, 78.7%id,  1.3%wa,  0.0%hi,  2.6%si,  0.3%st
Cpu0  :  6.1%us, 11.0%sy,  0.0%ni, 78.6%id,  1.3%wa,  0.0%hi,  2.7%si,  0.3%st
Cpu0  :  6.1%us, 11.0%sy,  0.0%ni, 78.5%id,  1.3%wa,  0.0%hi,  2.8%si,  0.3%st
Cpu0  :  6.1%us, 11.1%sy,  0.0%ni, 78.4%id,  1.3%wa,  0.0%hi,  2.8%si,  0.3%st
Cpu0  :  6.1%us, 11.1%sy,  0.0%ni, 78.2%id,  1.3%wa,  0.0%hi,  2.9%si,  0.3%st
Cpu0  :  6.1%us, 11.1%sy,  0.0%ni, 78.1%id,  1.3%wa,  0.0%hi,  3.0%si,  0.3%st
Cpu0  :  6.1%us, 11.1%sy,  0.0%ni, 78.0%id,  1.3%wa,  0.0%hi,  3.1%si,  0.3%st
Cpu0  :  6.1%us, 11.1%sy,  0.0%ni, 77.9%id,  1.3%wa,  0.0%hi,  3.2%si,  0.3%st
Cpu0  :  6.1%us, 11.2%sy,  0.0%ni, 77.8%id,  1.3%wa,  0.0%hi,  3.3%si,  0.3%st
Cpu0  :  6.1%us, 11.2%sy,  0.0%ni, 77.7%id,  1.3%wa,  0.0%hi,  3.4%si,  0.3%st
Cpu0  :  6.1%us, 11.2%sy,  0.0%ni, 77.6%id,  1.3%wa,  0.0%hi,  3.5%si,  0.3%st
Cpu0  :  6.1%us, 11.3%sy,  0.0%ni, 77.5%id,  1.3%wa,  0.0%hi,  3.5%si,  0.3%st
Cpu0  :  6.1%us, 11.3%sy,  0.0%ni, 77.3%id,  1.3%wa,  0.0%hi,  3.6%si,  0.3%st
Cpu0  :  6.2%us, 11.3%sy,  0.0%ni, 77.2%id,  1.3%wa,  0.0%hi,  3.7%si,  0.3%st
Cpu0  :  6.1%us, 11.4%sy,  0.0%ni, 77.2%id,  1.3%wa,  0.0%hi,  3.7%si,  0.3%st
Cpu0  :  6.1%us, 11.4%sy,  0.0%ni, 77.2%id,  1.2%wa,  0.0%hi,  3.7%si,  0.3%st
Cpu0  :  6.1%us, 11.3%sy,  0.0%ni, 77.3%id,  1.2%wa,  0.0%hi,  3.7%si,  0.3%st
Cpu0  :  6.1%us, 11.3%sy,  0.0%ni, 77.3%id,  1.2%wa,  0.0%hi,  3.7%si,  0.3%st
Cpu0  :  6.1%us, 11.3%sy,  0.0%ni, 77.3%id,  1.2%wa,  0.0%hi,  3.6%si,  0.3%st
Cpu0  :  6.1%us, 11.3%sy,  0.0%ni, 77.3%id,  1.2%wa,  0.0%hi,  3.6%si,  0.3%st
