Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.2%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.2%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.0%sy,  1.8%ni, 53.2%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.2%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.2%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.8%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.1%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 53.0%id,  2.0%wa,  0.0%hi,  2.8%si, 23.9%st
