1494837299,s1-eth3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,total,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth3,293636.34,5944000.00,6237636.00,65384,3230,3909.09,4000.00,7909.09,44,43,0.00,0.00,0,0
1494837299,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth2,194800.00,5052400.00,5247200.00,50524,1948,2600.00,3400.00,6000.00,34,26,0.00,0.00,0,0
1494837299,s1-eth1,11590800.00,524000.00,12114800.00,5240,115908,7800.00,7000.00,14800.00,70,78,0.00,0.00,0,0
1494837299,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,total,12108600.00,12114800.00,24223400.00,121148,121086,14700.00,14800.00,29500.00,148,147,0.00,0.00,0,0
1494837299,s1-eth3,210800.00,4755200.00,4966000.00,47552,2108,2800.00,3200.00,6000.00,32,28,0.00,0.00,0,0
1494837299,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth2,265000.00,5944000.00,6209000.00,59440,2650,3500.00,4000.00,7500.00,40,35,0.00,0.00,0,0
1494837299,s1-eth1,10402000.00,477000.00,10879000.00,4770,104020,7000.00,6300.00,13300.00,63,70,0.00,0.00,0,0
1494837299,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,total,10877800.00,11176200.00,22054000.00,111762,108778,13300.00,13500.00,26800.00,135,133,0.00,0.00,0,0
1494837299,s1-eth3,265000.00,5201000.00,5466000.00,52010,2650,3500.00,3500.00,7000.00,35,35,0.00,0.00,0,0
1494837299,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth2,225600.00,5201000.00,5426600.00,52010,2256,3000.00,3500.00,6500.00,35,30,0.00,0.00,0,0
1494837299,s1-eth1,10550600.00,496800.00,11047400.00,4968,105506,7100.00,6600.00,13700.00,66,71,0.00,0.00,0,0
1494837299,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,total,11041200.00,10898800.00,21940000.00,108988,110412,13600.00,13600.00,27200.00,136,136,0.00,0.00,0,0
1494837299,s1-eth3,205800.00,5052400.00,5258200.00,50524,2058,2700.00,3400.00,6100.00,34,27,0.00,0.00,0,0
1494837299,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth2,288400.00,5646800.00,5935200.00,56468,2884,3800.00,3800.00,7600.00,38,38,0.00,0.00,0,0
1494837299,s1-eth1,10550600.00,472000.00,11022600.00,4720,105506,7100.00,6200.00,13300.00,62,71,0.00,0.00,0,0
1494837299,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,total,11044800.00,11171200.00,22216000.00,111712,110448,13600.00,13400.00,27000.00,134,136,0.00,0.00,0,0
1494837299,s1-eth3,240400.00,5498200.00,5738600.00,54982,2404,3200.00,3700.00,6900.00,37,32,0.00,0.00,0,0
1494837299,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth2,260000.00,5052400.00,5312400.00,50524,2600,3400.00,3400.00,6800.00,34,34,0.00,0.00,0,0
1494837299,s1-eth1,10253400.00,507800.00,10761200.00,5078,102534,6900.00,6700.00,13600.00,67,69,0.00,0.00,0,0
1494837299,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,total,10753800.00,11058400.00,21812200.00,110584,107538,13500.00,13800.00,27300.00,138,135,0.00,0.00,0,0
1494837299,s1-eth3,229200.00,4606600.00,4835800.00,46066,2292,3000.00,3100.00,6100.00,31,30,0.00,0.00,0,0
1494837299,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth2,261400.00,5795400.00,6056800.00,57954,2614,3500.00,3900.00,7400.00,39,35,0.00,0.00,0,0
1494837299,s1-eth1,10550600.00,498000.00,11048600.00,4980,105506,7100.00,6600.00,13700.00,66,71,0.00,0.00,0,0
1494837299,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,total,11041200.00,10900000.00,21941200.00,109000,110412,13600.00,13600.00,27200.00,136,136,0.00,0.00,0,0
1494837299,s1-eth3,288400.00,5498200.00,5786600.00,54982,2884,3800.00,3700.00,7500.00,37,38,0.00,0.00,0,0
1494837299,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1494837299,s1-eth2,178800.00,5201000.00,5379800.00,52010,1788,2400.00,3500.00,5900.00,35,24,0.00,0.00,0,0
1494837299,s1-eth1,10550600.00,467200.00,11017800.00,4672,105506,7100.00,6200.00,13300.00,62,71,0.00,0.00,0,0
