Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.8%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.8%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.8%si, 23.1%st
Cpu0  :  5.3%us, 11.1%sy,  1.8%ni, 53.8%id,  2.0%wa,  0.0%hi,  2.8%si, 23.1%st
