Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.0%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.9%wa,  0.0%hi,  2.6%si, 23.5%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 54.9%id,  1.8%wa,  0.0%hi,  2.6%si, 23.6%st
