1494837162.884431,27
1494837162.924591,38
1494837162.952119,60
1494837162.980525,81
1494837163.008096,92
1494837163.034927,98
1494837163.061806,105
1494837163.088820,105
1494837163.115224,105
1494837163.140729,105
1494837163.167851,105
1494837163.194676,104
1494837163.224523,104
1494837163.252351,106
1494837163.279176,105
1494837163.305857,105
1494837163.333817,106
1494837163.361523,107
1494837163.388301,108
1494837163.414675,107
1494837163.442696,106
1494837163.470251,108
1494837163.497600,108
1494837163.524025,107
1494837163.550962,108
1494837163.575724,108
1494837163.600269,109
1494837163.624852,110
1494837163.649561,110
1494837163.674543,110
1494837163.702331,110
1494837163.728869,112
1494837163.753398,111
1494837163.778082,112
1494837163.802313,110
1494837163.826906,112
1494837163.854300,112
1494837163.879270,113
1494837163.906908,113
1494837163.932097,113
1494837163.957274,114
1494837163.984838,113
1494837164.011228,113
1494837164.036327,114
1494837164.061344,114
1494837164.086572,115
1494837164.111306,114
1494837164.136412,114
1494837164.161171,114
1494837164.185877,115
1494837164.211136,115
1494837164.236252,116
1494837164.261784,117
1494837164.286757,117
1494837164.311653,117
1494837164.340429,118
1494837164.368304,117
1494837164.395012,118
1494837164.422234,117
1494837164.447214,118
1494837164.473220,118
1494837164.500303,119
1494837164.529253,120
1494837164.556454,119
1494837164.584010,120
1494837164.611120,120
1494837164.639011,121
1494837164.664940,121
1494837164.690694,121
1494837164.715730,121
1494837164.740502,121
1494837164.765947,122
1494837164.790872,122
1494837164.816167,121
1494837164.840927,123
1494837164.867589,123
1494837164.894987,123
1494837164.920450,123
1494837164.945476,124
1494837164.970694,124
1494837164.995679,124
1494837165.020763,124
1494837165.045576,125
1494837165.070612,124
1494837165.095460,125
1494837165.120468,125
1494837165.145577,125
1494837165.170370,126
1494837165.195330,125
1494837165.220539,127
1494837165.245482,127
1494837165.270722,127
1494837165.295486,126
1494837165.320494,127
1494837165.346363,127
1494837165.371010,126
1494837165.396726,128
1494837165.421903,128
1494837165.446828,129
1494837165.473116,130
1494837165.498365,129
1494837165.523327,130
1494837165.548453,130
1494837165.573390,130
1494837165.598227,130
1494837165.623496,128
1494837165.648359,131
1494837165.673413,131
1494837165.698003,130
1494837165.722577,129
1494837165.747510,130
1494837165.771955,130
1494837165.796413,129
1494837165.821580,130
1494837165.846286,131
1494837165.871552,132
1494837165.897656,132
1494837165.922916,133
1494837165.947797,133
1494837165.972453,132
1494837165.997725,133
1494837166.022827,133
1494837166.050854,131
1494837166.078261,134
1494837166.104686,132
1494837166.129670,133
1494837166.154408,135
1494837166.178996,135
1494837166.203989,134
1494837166.228987,135
1494837166.253767,135
1494837166.278876,136
1494837166.304425,137
1494837166.329526,137
1494837166.354612,137
1494837166.379685,138
1494837166.404394,138
1494837166.429401,137
1494837166.454361,136
1494837166.478705,136
1494837166.504139,138
1494837166.530529,140
1494837166.555526,139
1494837166.580258,140
1494837166.605845,141
1494837166.630660,141
1494837166.656022,140
1494837166.681692,138
1494837166.707599,139
1494837166.732684,138
1494837166.757866,140
1494837166.782898,140
1494837166.807642,139
1494837166.832197,141
1494837166.857290,141
1494837166.881944,141
1494837166.906727,141
1494837166.931928,141
