Cpu0  :  5.2%us, 10.4%sy,  1.6%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.4%sy,  1.6%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.4%sy,  1.6%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.1%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.6%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.6%si, 24.3%st
