Cpu0  :  5.0%us,  7.5%sy,  0.0%ni, 85.6%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  5.0%us,  7.6%sy,  0.0%ni, 85.4%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  5.0%us,  7.7%sy,  0.0%ni, 85.3%id,  1.4%wa,  0.0%hi,  0.2%si,  0.4%st
Cpu0  :  5.1%us,  7.8%sy,  0.0%ni, 85.2%id,  1.4%wa,  0.0%hi,  0.2%si,  0.4%st
Cpu0  :  5.1%us,  7.9%sy,  0.0%ni, 85.0%id,  1.4%wa,  0.0%hi,  0.2%si,  0.4%st
Cpu0  :  5.1%us,  8.0%sy,  0.0%ni, 84.9%id,  1.4%wa,  0.0%hi,  0.2%si,  0.4%st
Cpu0  :  5.1%us,  8.1%sy,  0.0%ni, 84.8%id,  1.4%wa,  0.0%hi,  0.2%si,  0.4%st
Cpu0  :  5.1%us,  8.2%sy,  0.0%ni, 84.6%id,  1.4%wa,  0.0%hi,  0.3%si,  0.4%st
Cpu0  :  5.1%us,  8.3%sy,  0.0%ni, 84.5%id,  1.4%wa,  0.0%hi,  0.3%si,  0.4%st
Cpu0  :  5.1%us,  8.4%sy,  0.0%ni, 84.4%id,  1.4%wa,  0.0%hi,  0.3%si,  0.4%st
Cpu0  :  5.2%us,  8.5%sy,  0.0%ni, 84.2%id,  1.4%wa,  0.0%hi,  0.3%si,  0.4%st
Cpu0  :  5.2%us,  8.6%sy,  0.0%ni, 84.1%id,  1.4%wa,  0.0%hi,  0.3%si,  0.4%st
Cpu0  :  5.2%us,  8.7%sy,  0.0%ni, 84.0%id,  1.4%wa,  0.0%hi,  0.3%si,  0.4%st
Cpu0  :  5.2%us,  8.8%sy,  0.0%ni, 83.8%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.2%us,  8.9%sy,  0.0%ni, 83.7%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.0%sy,  0.0%ni, 83.6%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.1%sy,  0.0%ni, 83.5%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.2%sy,  0.0%ni, 83.3%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.3%sy,  0.0%ni, 83.2%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.4%sy,  0.0%ni, 83.1%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.5%sy,  0.0%ni, 83.0%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.5%sy,  0.0%ni, 83.0%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.5%sy,  0.0%ni, 83.0%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.5%sy,  0.0%ni, 83.0%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.5%sy,  0.0%ni, 83.0%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.5%sy,  0.0%ni, 83.0%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.3%us,  9.5%sy,  0.0%ni, 83.0%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
