Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.4%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.4%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.4%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.2%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.3%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 54.2%id,  1.8%wa,  0.0%hi,  2.5%si, 24.3%st
