Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.4%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.5%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.5%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.5%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.5%sy,  1.5%ni, 54.4%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.5%sy,  1.5%ni, 54.4%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.5%sy,  1.5%ni, 54.4%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.5%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
Cpu0  :  5.1%us, 10.5%sy,  1.5%ni, 54.5%id,  1.8%wa,  0.0%hi,  2.5%si, 24.1%st
