Cpu0  :  4.4%us,  5.2%sy,  0.0%ni, 88.5%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.4%us,  5.3%sy,  0.0%ni, 88.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.4%us,  5.4%sy,  0.0%ni, 88.3%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.4%us,  5.5%sy,  0.0%ni, 88.2%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.4%us,  5.6%sy,  0.0%ni, 88.1%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.5%us,  5.7%sy,  0.0%ni, 87.9%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.5%us,  5.8%sy,  0.0%ni, 87.8%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.5%us,  5.9%sy,  0.0%ni, 87.7%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.5%us,  6.0%sy,  0.0%ni, 87.6%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.5%us,  6.1%sy,  0.0%ni, 87.5%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.5%us,  6.2%sy,  0.0%ni, 87.4%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.5%us,  6.3%sy,  0.0%ni, 87.3%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.5%us,  6.4%sy,  0.0%ni, 87.1%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.5%us,  6.5%sy,  0.0%ni, 87.0%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  6.6%sy,  0.0%ni, 86.9%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  6.7%sy,  0.0%ni, 86.8%id,  1.5%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  6.8%sy,  0.0%ni, 86.7%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  6.9%sy,  0.0%ni, 86.6%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.0%sy,  0.0%ni, 86.5%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.1%sy,  0.0%ni, 86.4%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.1%sy,  0.0%ni, 86.3%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.1%sy,  0.0%ni, 86.3%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.1%sy,  0.0%ni, 86.3%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.1%sy,  0.0%ni, 86.3%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.1%sy,  0.0%ni, 86.3%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.1%sy,  0.0%ni, 86.3%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
Cpu0  :  4.6%us,  7.1%sy,  0.0%ni, 86.3%id,  1.4%wa,  0.0%hi,  0.1%si,  0.4%st
