Cpu0  :  5.7%us,  9.8%sy,  0.0%ni, 82.4%id,  1.4%wa,  0.0%hi,  0.4%si,  0.4%st
Cpu0  :  5.7%us,  9.8%sy,  0.0%ni, 82.2%id,  1.3%wa,  0.0%hi,  0.5%si,  0.4%st
Cpu0  :  5.7%us,  9.9%sy,  0.0%ni, 82.1%id,  1.3%wa,  0.0%hi,  0.6%si,  0.4%st
Cpu0  :  5.7%us,  9.9%sy,  0.0%ni, 82.0%id,  1.3%wa,  0.0%hi,  0.6%si,  0.4%st
Cpu0  :  5.7%us, 10.0%sy,  0.0%ni, 81.9%id,  1.3%wa,  0.0%hi,  0.7%si,  0.4%st
Cpu0  :  5.7%us, 10.0%sy,  0.0%ni, 81.7%id,  1.3%wa,  0.0%hi,  0.8%si,  0.4%st
Cpu0  :  5.7%us, 10.1%sy,  0.0%ni, 81.6%id,  1.3%wa,  0.0%hi,  0.9%si,  0.4%st
Cpu0  :  5.7%us, 10.1%sy,  0.0%ni, 81.5%id,  1.3%wa,  0.0%hi,  1.0%si,  0.4%st
Cpu0  :  5.7%us, 10.1%sy,  0.0%ni, 81.4%id,  1.3%wa,  0.0%hi,  1.1%si,  0.4%st
Cpu0  :  5.7%us, 10.2%sy,  0.0%ni, 81.2%id,  1.3%wa,  0.0%hi,  1.1%si,  0.4%st
Cpu0  :  5.8%us, 10.2%sy,  0.0%ni, 81.1%id,  1.3%wa,  0.0%hi,  1.2%si,  0.4%st
Cpu0  :  5.8%us, 10.3%sy,  0.0%ni, 81.0%id,  1.3%wa,  0.0%hi,  1.3%si,  0.4%st
Cpu0  :  5.8%us, 10.3%sy,  0.0%ni, 80.9%id,  1.3%wa,  0.0%hi,  1.4%si,  0.4%st
Cpu0  :  5.8%us, 10.3%sy,  0.0%ni, 80.8%id,  1.3%wa,  0.0%hi,  1.5%si,  0.4%st
Cpu0  :  5.8%us, 10.4%sy,  0.0%ni, 80.6%id,  1.3%wa,  0.0%hi,  1.5%si,  0.4%st
Cpu0  :  5.8%us, 10.4%sy,  0.0%ni, 80.5%id,  1.3%wa,  0.0%hi,  1.6%si,  0.4%st
Cpu0  :  5.8%us, 10.4%sy,  0.0%ni, 80.4%id,  1.3%wa,  0.0%hi,  1.7%si,  0.4%st
Cpu0  :  5.8%us, 10.5%sy,  0.0%ni, 80.3%id,  1.3%wa,  0.0%hi,  1.8%si,  0.4%st
Cpu0  :  5.8%us, 10.5%sy,  0.0%ni, 80.2%id,  1.3%wa,  0.0%hi,  1.9%si,  0.4%st
Cpu0  :  5.8%us, 10.5%sy,  0.0%ni, 80.0%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
Cpu0  :  5.8%us, 10.6%sy,  0.0%ni, 79.9%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
Cpu0  :  5.8%us, 10.6%sy,  0.0%ni, 80.0%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
Cpu0  :  5.8%us, 10.6%sy,  0.0%ni, 80.0%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
Cpu0  :  5.8%us, 10.5%sy,  0.0%ni, 80.0%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
Cpu0  :  5.8%us, 10.5%sy,  0.0%ni, 80.0%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
Cpu0  :  5.8%us, 10.5%sy,  0.0%ni, 80.0%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
Cpu0  :  5.8%us, 10.5%sy,  0.0%ni, 80.1%id,  1.3%wa,  0.0%hi,  2.0%si,  0.4%st
