Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.6%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.6%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.6%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.6%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.6%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.6%sy,  1.5%ni, 53.2%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.6%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.3%st
Cpu0  :  5.2%us, 10.6%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.1%id,  1.7%wa,  0.0%hi,  2.5%si, 25.4%st
